Date,SPX
2020-01-02,0.944028560795418
2020-01-03,-0.7632002841007068
2020-01-06,0.38839551925083926
2020-01-07,-0.2774753372080885
2020-01-08,0.5209444259937746
2020-01-09,0.6765939286780709
2020-01-10,-0.2825597259156598
2020-01-13,0.6938612048794313
2020-01-14,-0.1536273180646086
2020-01-15,0.22545499359948318
2020-01-16,0.8315014774812779
2020-01-17,0.3211187604211019
2020-01-21,-0.20586561291031646
2020-01-22,0.01654993247203196
2020-01-23,0.11893973371975841
2020-01-24,-0.8992560339456335
2020-01-27,-1.6130264503184444
2020-01-28,1.0564804452530385
2020-01-29,-0.07632744497931276
2020-01-30,0.31314763513546895
2020-01-31,-1.796722836042064
2020-02-03,0.7303108796365199
2020-02-04,1.5376341651434866
2020-02-05,1.1339592888146455
2020-02-06,0.3596961976405799
2020-02-07,-0.537656132927472
2020-02-10,0.7432820747931501
2020-02-11,0.1788848806696164
2020-02-12,0.6427420863163169
2020-02-13,-0.11531292008032934
2020-02-14,0.15247421156623364
2020-02-18,-0.24829717848784405
2020-02-19,0.47853167636465743
2020-02-20,-0.40989031387013153
2020-02-21,-1.0289857202644415
2020-02-24,-3.3268510469434966
2020-02-25,-3.0143573820057776
2020-02-26,-0.37651866868024797
2020-02-27,-4.514616196675581
2020-02-28,-0.6787492042331367
2020-03-02,4.613724337870351
2020-03-03,-2.8652710657699476
2020-03-04,4.299004117617267
2020-03-05,-3.407914294385278
2020-03-06,-1.6594682950883899
2020-03-09,-7.905358797771339
2020-03-10,5.270969091327959
2020-03-11,-4.868759595188038
2020-03-12,-9.595630705520207
2020-03-13,8.811161544777557
2020-03-16,-11.258316362278808
2020-03-17,5.8792581002297
2020-03-18,-5.315621439687779
2020-03-19,0.29076320798528954
2020-03-20,-4.406212348826233
2020-03-23,-2.6865361975374813
2020-03-24,9.255305948401993
2020-03-25,1.3871467637980417
2020-03-26,5.9299560200613
2020-03-27,-3.038628101906399
2020-03-30,3.220695989529454
2020-03-31,-1.4999520542845424
2020-04-01,-4.49482002029849
2020-04-02,2.326770964723679
2020-04-03,-1.429388890994615
2020-04-06,6.727521298529782
2020-04-07,0.07165955794030676
2020-04-08,3.3876542362505813
2020-04-09,1.5099628066438608
2020-04-13,-0.9366098211711693
2020-04-14,2.992169089063912
2020-04-15,-2.1612890888911993
2020-04-16,0.5068410060895978
2020-04-17,2.6951583020542347
2020-04-20,-1.7710657548738018
2020-04-21,-3.0405162428668864
2020-04-22,2.241713839205628
2020-04-23,-0.01785977442663178
2020-04-24,1.3969674827304157
2020-04-27,1.4764530158364653
2020-04-28,-0.49883889828757355
2020-04-29,2.615444164516334
2020-04-30,-0.9704093632622535
2020-05-01,-2.6339339755922397
2020-05-04,0.33189323316644703
2020-05-05,0.9028730058249779
2020-05-06,-0.66803561179965
2020-05-07,1.1958144759111278
2020-05-08,1.6640121403559416
2020-05-11,0.008566280659982883
2020-05-12,-2.0154864915947535
2020-05-13,-1.7417847927061914
2020-05-14,1.1965157420848138
2020-05-15,0.44668755281699335
2020-05-18,3.0691745469107246
2020-05-19,-1.0287041179348089
2020-05-20,1.7026565167000518
2020-05-21,-0.7109551753151866
2020-05-22,0.19635690626335078
2020-05-26,1.2502895841790318
2020-05-27,1.4735354997612693
2020-05-28,-0.19074083347963566
2020-05-29,0.42511136027146845
2020-06-01,0.4478431141043182
2020-06-02,0.8297648907644062
2020-06-03,1.3380414441246158
2020-06-04,-0.2988652860339447
2020-06-05,2.584531692406966
2020-06-08,1.2159719950095793
2020-06-09,-0.7411915881833764
2020-06-10,-0.5740541956151812
2020-06-11,-5.775186154588746
2020-06-12,1.2237927592881337
2020-06-15,0.925693857546761
2020-06-16,1.9236457687196173
2020-06-17,-0.43308831949675497
2020-06-18,0.05779376944867742
2020-06-19,-0.5906092264192198
2020-06-22,0.6791177731339748
2020-06-23,0.43376008528660526
2020-06-24,-2.538145188388341
2020-06-25,1.0600997768882459
2020-06-26,-2.380461872441847
2020-06-29,1.4853729102034863
2020-06-30,1.299711905857126
2020-07-01,0.6925182286005138
2020-07-02,0.5383095157008078
2020-07-06,1.5391405249343681
2020-07-07,-1.0310048107252334
2020-07-08,0.7554990612235413
2020-07-09,-0.5383371096105538
2020-07-10,1.0141429668862334
2020-07-13,-0.876656515716423
2020-07-14,1.2965294629463275
2020-07-15,0.9262996594284534
2020-07-16,-0.33795930744291436
2020-07-17,0.2924644421709033
2020-07-20,0.8173922985564075
2020-07-21,0.19695190206352464
2020-07-22,0.5788760415126437
2020-07-23,-1.201479485745971
2020-07-24,-0.6412429767617966
2020-07-27,0.7324777096867852
2020-07-28,-0.6252895282159832
2020-07-29,1.2164942196178474
2020-07-30,-0.34996680587912055
2020-07-31,0.7886246371310079
2020-08-03,0.6968829429262136
2020-08-04,0.3733897223445304
2020-08-05,0.6350198971750598
2020-08-06,0.6730944560140562
2020-08-07,0.07166968259983975
2020-08-10,0.2997427890730986
2020-08-11,-0.831175375261517
2020-08-12,1.3944351381390385
2020-08-13,-0.17599469427408976
2020-08-14,-0.0029310909205937374
2020-08-17,0.31996914321241743
2020-08-18,0.21412187110425585
2020-08-19,-0.4111328265035685
2020-08-20,0.3092700715694452
2020-08-21,0.3525283487641362
2020-08-24,1.0200866435275957
2020-08-25,0.34047179925839055
2020-08-26,1.0092772803563133
2020-08-27,0.21821374686579187
2020-08-28,0.6431886140504717
2020-08-31,-0.35586070874616405
2020-09-01,0.9399099645788334
2020-09-02,1.454714231224108
2020-09-03,-3.449381028430337
2020-09-04,-0.8176531272720222
2020-09-08,-2.725229065082868
2020-09-09,1.9660662011829255
2020-09-10,-1.7416347160571166
2020-09-11,0.049324054774169124
2020-09-14,1.3234649023783462
2020-09-15,0.5071508767390709
2020-09-16,-0.3975060867486224
2020-09-17,-0.868912177165837
2020-09-18,-1.1611748552495416
2020-09-21,-1.1129745849328576
2020-09-22,1.015850485870462
2020-09-23,-2.323198089184836
2020-09-24,0.2645582542148861
2020-09-25,1.6216825392893042
2020-09-28,1.6610559733963748
2020-09-29,-0.5481334704771856
2020-09-30,0.7614152605600721
2020-10-01,0.6453295305561157
2020-10-02,-0.9462740875605835
2020-10-05,1.7596495473883422
2020-10-06,-1.4206767723570157
2020-10-07,1.7392355757570699
2020-10-08,0.8935276673935011
2020-10-09,0.8857029482799539
2020-10-12,1.6204270543628385
2020-10-13,-0.6514538410083592
2020-10-14,-0.6272190340067152
2020-10-15,-0.12333937866834677
2020-10-16,-0.07467034569216824
2020-10-19,-1.510628210983428
2020-10-20,0.39694005079903283
2020-10-21,-0.19185949360489563
2020-10-22,0.5592143406552341
2020-10-23,0.3287912168974949
2020-10-26,-1.8419598197389142
2020-10-27,-0.3426644710844695
2020-10-28,-3.410341521304816
2020-10-29,1.0068473656605348
2020-10-30,-1.0542462379459994
2020-11-02,1.1312137525548827
2020-11-03,1.7760746997966703
2020-11-04,2.221890146961336
2020-11-05,1.9527143567241056
2020-11-06,-0.015688175347611244
2020-11-09,1.2528665105262071
2020-11-10,-0.13798250486491415
2020-11-11,0.7316251556398812
2020-11-12,-0.9613997030121835
2020-11-13,1.372015376604785
2020-11-16,1.2447286461692575
2020-11-17,-0.5231787910617847
2020-11-18,-1.204059548410924
2020-11-19,0.41326322841437335
2020-11-20,-0.6780082391861841
2020-11-23,0.599764371157796
2020-11-24,1.6056462421854767
2020-11-25,-0.14841175538802265
2020-11-27,0.2752413915276808
2020-11-30,-0.4487638536823324
2020-12-01,1.0973305400308386
2020-12-02,0.2113685591174641
2020-12-03,-0.023142446727297816
2020-12-04,0.8601809139903938
2020-12-07,-0.195687534986827
2020-12-08,0.28532647179077
2020-12-09,-0.8858388875082113
2020-12-10,-0.04350242359735801
2020-12-11,-0.1211095590743616
2020-12-14,-0.45063103018089246
2020-12-15,1.356634751978758
2020-12-16,0.15834259313284305
2020-12-17,0.5580547065691444
2020-12-18,-0.3972444409661158
2020-12-21,-0.3434274814486993
2020-12-22,-0.1803961778983565
2020-12-23,0.08832641400378094
2020-12-24,0.388362805908693
2020-12-28,0.8642913578228661
2020-12-29,-0.19175390937009595
2020-12-30,0.137049532264355
2020-12-31,0.5339941690370331
2021-01-04,-1.3693237752220533
2021-01-05,0.6752544156055307
2021-01-06,0.6007931887222262
2021-01-07,1.4830241359607754
2021-01-08,0.5700806253223223
2021-01-11,-0.6637186009474161
2021-01-12,0.018446704128083358
2021-01-13,0.2608905682796925
2021-01-14,-0.3482441196530739
2021-01-15,-0.7253174759813075
2021-01-19,0.7837427552130349
2021-01-20,1.3799991110446608
2021-01-21,0.0897106901996958
2021-01-22,-0.3468353501020871
2021-01-25,0.39626292506109717
2021-01-26,-0.15191803326463638
2021-01-27,-2.4419515983796716
2021-01-28,0.8530298586277296
2021-01-29,-1.9942452481988615
2021-02-01,1.6505354449822485
2021-02-02,1.4167582345374297
2021-02-03,0.07846608800140542
2021-02-04,1.134498667890771
2021-02-05,0.392869021623532
2021-02-08,0.7375817736835488
2021-02-09,-0.07537303973944587
2021-02-10,-0.04220974394231747
2021-02-11,0.16504106724829493
2021-02-12,0.49684303859354184
2021-02-16,-0.08263533798748002
2021-02-17,0.017841574891974687
2021-02-18,-0.4247817610526783
2021-02-19,-0.18262006971414557
2021-02-22,-0.7651630132317122
2021-02-23,0.11347394803611355
2021-02-24,1.0999058683597074
2021-02-25,-2.403908838287733
2021-02-26,-0.5194984413084414
2021-03-01,2.4247867768429576
2021-03-02,-0.7750549840919385
2021-03-03,-1.3297645458461183
2021-03-04,-1.2378073997393602
2021-03-05,1.8415530623571597
2021-03-08,-0.4930408191183955
2021-03-09,1.4184817467452815
2021-03-10,0.6174589038631995
2021-03-11,1.021069978195599
2021-03-12,0.14582305143975294
2021-03-15,0.6014983756854053
2021-03-16,-0.1334009749074161
2021-03-17,0.33401588854146125
2021-03-18,-1.4572552966695518
2021-03-19,-0.18540101991143532
2021-03-22,0.7944429010655618
2021-03-23,-0.7831094116033055
2021-03-24,-0.5103977764324641
2021-03-25,0.5668164319833524
2021-03-26,1.6149772867749213
2021-03-29,-0.05043674509872531
2021-03-30,-0.25598575303097393
2021-03-31,0.3982473770906214
2021-04-01,1.0753640619242555
2021-04-05,1.4351808913454778
2021-04-06,-0.060169948566374254
2021-04-07,0.12040964841991686
2021-04-08,0.4701336799026734
2021-04-09,0.725689606834623
2021-04-12,0.03880724619093057
2021-04-13,0.29462352669937797
2021-04-14,-0.3372796197845196
2021-04-15,1.0746737403247053
2021-04-16,0.34320298231270696
2021-04-19,-0.490348222235365
2021-04-20,-0.729526364960098
2021-04-21,0.9407028336697487
2021-04-22,-0.9007591163783357
2021-04-23,1.0663111480651133
2021-04-26,0.21672919329682738
2021-04-27,-0.026281295089553014
2021-04-28,-0.03345605495777004
2021-04-29,0.6348985433364152
2021-04-30,-0.6522777149804204
2021-05-03,0.21527469970981095
2021-05-04,-0.6121900233495403
2021-05-05,0.022822061187433018
2021-05-06,0.8054692271421415
2021-05-07,0.7264116928620057
2021-05-10,-0.9812869750596531
2021-05-11,-0.8918871415661944
2021-05-12,-2.131104311339077
2021-05-13,1.1940199248771877
2021-05-14,1.5399693979722073
2021-05-17,-0.24680019403688358
2021-05-18,-0.8610650716163459
2021-05-19,-0.2665011336587808
2021-05-20,1.066440543539926
2021-05-21,-0.06971506427528862
2021-05-24,1.0126114900005256
2021-05-25,-0.2190786608617934
2021-05-26,0.19093345196664613
2021-05-27,0.052400560547105623
2021-05-28,0.18447845126673412
2021-06-01,-0.08317369739278546
2021-06-02,0.1617019471800929
2021-06-03,-0.3763153254488727
2021-06-04,0.9128035944664936
2021-06-07,-0.0909379633892482
2021-06-08,0.013020762559323718
2021-06-09,-0.15479879379165506
2021-06-10,0.4747179117041478
2021-06-11,0.16515895500827105
2021-06-14,0.2320224682463845
2021-06-15,-0.18918289649590414
2021-06-16,-0.5556955573754685
2021-06-17,-0.031938413463433735
2021-06-18,-1.346806063266759
2021-06-21,1.4212161511742316
2021-06-22,0.5050955563317805
2021-06-23,-0.08968291153456098
2021-06-24,0.5855913800745904
2021-06-25,0.36149751033275335
2021-06-28,0.2070004756769217
2021-06-29,0.04903510268396971
2021-06-30,0.08631505020296748
2021-07-01,0.5594397045278532
2021-07-02,0.7626549267435445
2021-07-06,-0.21848040056061668
2021-07-07,0.3815158912804484
2021-07-08,-0.8084693875302251
2021-07-09,1.0651400304381942
2021-07-12,0.36426944523936244
2021-07-13,-0.3458249687054715
2021-07-14,0.14089933828590473
2021-07-15,-0.3419869427765676
2021-07-16,-0.7701375809397504
2021-07-19,-1.4850339782234823
2021-07-20,1.4416986333919524
2021-07-21,0.8101234610332742
2021-07-22,0.21353673289312702
2021-07-23,1.0070146791193557
2021-07-26,0.25630378179097857
2021-07-27,-0.45589433213173436
2021-07-28,-0.0477216731493979
2021-07-29,0.4297517404849627
2021-07-30,-0.49585767310089124
2021-08-02,-0.2059428992293555
2021-08-03,0.8060868710278335
2021-08-04,-0.4840807975653505
2021-08-05,0.6273526295315301
2021-08-06,0.16940544744713515
2021-08-09,-0.07555243736253048
2021-08-10,0.12074643334055724
2021-08-11,0.24230404226731617
2021-08-12,0.266520464027864
2021-08-13,0.2174816369992949
2021-08-16,0.24611666658986842
2021-08-17,-0.6673985860156051
2021-08-18,-1.0865371837795845
2021-08-19,0.15108744406282515
2021-08-20,0.796232302311406
2021-08-23,0.875472871006322
2021-08-24,0.16620400753286635
2021-08-25,0.2093625065864746
2021-08-26,-0.5901161944188771
2021-08-27,0.8865330469171595
2021-08-30,0.44213108683113234
2021-08-31,-0.1280225042411154
2021-09-01,0.04861169098457907
2021-09-02,0.30364193271199547
2021-09-03,-0.034092139404595656
2021-09-07,-0.3403030945974217
2021-09-08,-0.12704335828450652
2021-09-09,-0.43696350506404746
2021-09-10,-0.7756278232380065
2021-09-13,0.24414915580815988
2021-09-14,-0.5362225781772312
2021-09-15,0.8333698064710848
2021-09-16,-0.1726141816875637
2021-09-17,-0.9691593606738547
2021-09-20,-1.6769194072659255
2021-09-21,-0.07582534321515788
2021-09-22,0.9808939936518102
2021-09-23,1.206884183714163
2021-09-24,0.17823708318321918
2021-09-27,-0.3000934921712106
2021-09-28,-2.0057064562633844
2021-09-29,0.1702631241917274
2021-09-30,-1.2300664405061945
2021-10-01,1.1896019974238503
2021-10-04,-1.2939699702975038
2021-10-05,1.044311117247776
2021-10-06,0.4205477779193556
2021-10-07,0.846805333567413
2021-10-08,-0.16501706566242058
2021-10-11,-0.7350356350183218
2021-10-12,-0.24912212791386446
2021-10-13,0.35794340593717777
2021-10-14,1.6972815033835187
2021-10-15,0.7645583621919139
2021-10-18,0.29322296380055457
2021-10-19,0.7788585624761035
2021-10-20,0.3886497041887482
2021-10-21,0.2602990149461193
2021-10-22,-0.11218719717164816
2021-10-25,0.5297332509918262
2021-10-26,0.10186723743951243
2021-10-27,-0.4443232494828975
2021-10-28,0.9629795532338892
2021-10-29,0.19598986672375585
2021-11-01,0.18904889579115514
2021-11-02,0.39916126417716136
2021-11-03,0.6125340456689443
2021-11-04,0.4649356325091891
2021-11-05,0.3494795902943437
2021-11-08,0.09476635453156135
2021-11-09,-0.3394073127086006
2021-11-10,-0.7975502747921193
2021-11-11,0.0366002155290146
2021-11-12,0.745560527456901
2021-11-15,0.029901472533111484
2021-11-16,0.39714352896604854
2021-11-17,-0.2392566482638303
2021-11-18,0.3347013656680886
2021-11-19,-0.1710575157626293
2021-11-22,-0.29049047047371435
2021-11-23,0.13553407494693026
2021-11-24,0.26325597939609313
2021-11-26,-2.2461126643613882
2021-11-29,1.251601025993243
2021-11-30,-1.9235866868682838
2021-12-01,-1.138790501530168
2021-12-02,1.5363444508165736
2021-12-03,-0.8836172460777059
